,ROB,IQ,WIDTH,IPC
1223,64,16,8,5.425935974
1224,64,16,9,5.515719801
1225,64,16,10,5.549389567
1226,64,16,11,5.564830273
1227,64,16,12,5.561735261
1228,64,16,13,5.58347292
1229,64,16,14,5.58347292
1230,64,16,15,5.599104143
1231,64,16,16,5.602240896
1232,64,16,17,5.571030641
1233,64,16,18,5.617977528
1234,64,16,19,5.602240896
1197,64,8,1,0.998901209
1198,64,8,2,1.993223042
1199,64,8,3,2.928257687
1200,64,8,4,3.699593045
1201,64,8,5,4.133939644
1202,64,8,6,4.224757076
1203,64,8,7,4.194630872
1204,64,8,8,4.201680672
1205,64,8,9,4.212299916
1206,64,8,10,4.432624113
1207,64,8,11,4.508566276
1208,64,8,12,4.484304933
1209,64,8,13,4.486316734
1210,64,8,14,4.474272931
1211,64,8,15,4.524886878
1212,64,8,16,4.553734062
1213,64,8,17,4.580852038
1214,64,8,18,4.576659039
1215,64,8,19,4.570383912
1178,64,4,1,0.998901209
1179,64,4,2,1.945525292
1180,64,4,3,2.525252525
1181,64,4,4,2.525252525
1182,64,4,5,2.413709872
1183,64,4,6,2.62605042
1184,64,4,7,2.653223667
1185,64,4,8,2.637826431
1186,64,4,9,2.658160553
1187,64,4,10,2.705627706
1188,64,4,11,2.7100271
1189,64,4,12,2.718868951
1190,64,4,13,2.750275028
1191,64,4,14,2.744237102
1192,64,4,15,2.750275028
1193,64,4,16,2.75558005
1194,64,4,17,2.759381898
1195,64,4,18,2.777006387
1196,64,4,19,2.78551532
1159,64,2,1,0.998901209
1160,64,2,2,1.587301587
1161,64,2,3,1.457938475
1162,64,2,4,1.601537476
1163,64,2,5,1.55159038
1164,64,2,6,1.622060016
1165,64,2,7,1.597188947
1166,64,2,8,1.628399284
1167,64,2,9,1.620482904
1168,64,2,10,1.639344262
1169,64,2,11,1.629195178
1170,64,2,12,1.647989453
1171,64,2,13,1.642036125
1172,64,2,14,1.647446458
1173,64,2,15,1.646361541
1174,64,2,16,1.653986107
1175,64,2,17,1.647989453
1176,64,2,18,1.655629139
1177,64,2,19,1.655903295
1140,64,1,1,0.998901209
